id,age,employer_type,highest_education_completed,marital_status,occupation_code,race_code,gender,capital_gains,capital_losses,hours_worked_per_week,native_country_code,salary_greater_than_100k
1,27,non_government,bachelors_degree, married,0,3,1,0,0,40,20,0
2,44,government_local,high_school, divorced,2,3,0,0,0,40,20,0
3,35,non_government,high_school, married,10,3,1,0,0,40,20,0
4,19,government_federal,some_college,never_married,4,3,1,0,0,20,5,0
5,42,non_government,high_school, married,8,3,1,0,0,30,20,0
6,32,non_government,high_school, married,7,3,0,0,0,20,20,0
7,45,government_state,masters_degree, married,1,3,1,0,0,60,20,1
8,27,non_government,associates_degree_vocational, divorced,2,3,0,0,0,40,20,0
9,29,non_government,some_college, married,2,3,0,0,0,40,20,1
10,36,non_government,associates_degree_academic,never_married,5,3,0,0,0,40,20,0
11,49,non_government,high_school, married,10,3,1,0,6050,40,20,0
12,51,government_local,bachelors_degree, married,1,3,1,0,5519,40,20,1
13,41,non_government,associates_degree_vocational, married,5,3,0,0,0,38,20,1
14,52,self_employed_incorporated,professional_degree, married,3,3,1,0,0,40,20,1
15,40,non_government,high_school, divorced,4,2,1,0,0,35,20,0
16,22,non_government,some_college,never_married,1,3,0,0,0,40,20,0
17,32,government_state,bachelors_degree, married,5,3,1,0,0,20,20,0
18,21,non_government,some_college,never_married,1,3,1,0,0,10,20,0
19,83,non_government,high_school, widowed,9,3,1,0,0,55,20,0
20,29,government_local,masters_degree, married,1,3,1,0,0,50,20,0
21,42,non_government,bachelors_degree, divorced,3,3,1,0,4548,40,20,0
22,31,non_government,high_school, married,2,3,0,0,0,40,20,1
23,40,non_government,high_school,never_married,2,3,0,0,0,45,20,0
24,41,government_state,bachelors_degree,never_married,2,3,1,0,0,40,20,0
25,37,non_government,bachelors_degree, married,0,3,0,0,5507,40,20,1
26,36,self_employed_not_incorporated,bachelors_degree, married,0,3,1,0,0,50,10,0
27,43,non_government,bachelors_degree, divorced,1,3,0,43232,0,40,20,1
28,61,non_government,bachelors_degree, divorced,3,2,1,15107,0,48,20,1
29,18,non_government,high_school,never_married,7,3,1,0,0,40,20,0
30,37,non_government,masters_degree, married,0,3,1,0,0,50,31,1
31,24,non_government,high_school,never_married,2,3,1,0,0,40,20,0
32,31,non_government,associates_degree_academic, married,10,3,1,0,0,55,20,0
33,57,self_employed_not_incorporated,doctoral_degree, married,3,3,1,0,5671,40,20,1
34,49,non_government,some_college, married,0,3,1,0,0,40,20,1
35,35,self_employed_not_incorporated,bachelors_degree,never_married,1,3,0,0,0,40,20,0
36,46,government_local,some_college, married,9,3,1,0,0,40,20,1
37,33,non_government,high_school,never_married,8,3,1,0,0,87,20,0
38,44,self_employed_not_incorporated,some_college, married,11,3,1,0,0,72,20,0
39,44,government_federal,high_school,never_married,6,2,0,0,0,40,20,0
40,35,non_government,associates_degree_vocational, divorced,1,2,1,0,0,40,20,0
41,28,non_government,high_school, married,6,3,1,0,0,40,20,0
42,42,non_government,bachelors_degree,never_married,1,3,0,0,4892,38,20,1
43,24,self_employed_not_incorporated,associates_degree_vocational,never_married,7,3,0,0,0,38,20,0
44,30,government_local,masters_degree,never_married,1,3,0,0,0,40,20,0
45,37,non_government,some_college, married,6,3,1,0,0,40,20,0
46,51,government_local,professional_degree,never_married,1,3,1,9695,0,40,20,0
47,38,non_government,bachelors_degree, married,1,3,0,0,0,40,20,0
48,50,non_government,high_school, separated,7,3,0,0,0,35,20,0
49,36,non_government,high_school, separated,2,2,0,0,0,40,20,0
50,24,non_government,some_college,never_married,3,3,1,0,5608,40,20,0
51,27,non_government,high_school, separated,4,3,1,0,0,40,20,0
52,69,non_government,high_school, widowed,10,3,1,7743,0,40,20,0
53,31,non_government,high_school, married,6,3,1,0,0,45,20,0
54,24,non_government,some_college, married,1,3,0,0,0,40,20,1
55,36,non_government,high_school,never_married,7,3,1,0,0,40,20,0
56,39,government_federal,bachelors_degree,never_married,2,3,1,0,4954,40,20,0
57,46,non_government,bachelors_degree, divorced,1,2,0,0,0,32,20,0
58,31,government_local,masters_degree, married,1,3,1,0,0,90,20,1
59,23,non_government,bachelors_degree,never_married,1,3,0,0,0,40,20,0
60,51,non_government,associates_degree_vocational, married,6,3,1,9808,0,50,20,1
61,35,non_government,high_school, divorced,3,3,0,0,0,40,20,0
62,31,non_government,bachelors_degree,never_married,1,3,0,0,0,40,20,0
63,38,self_employed_not_incorporated,bachelors_degree, married,2,3,0,0,0,28,20,1
64,21,non_government,high_school,never_married,2,3,1,0,0,40,20,0
65,24,non_government,high_school, married,10,3,1,0,0,40,20,0
66,46,government_state,associates_degree_vocational, divorced,2,3,0,0,0,38,20,0
67,49,non_government,high_school, married,10,3,1,0,0,40,20,0
68,32,non_government,some_college, divorced,1,3,1,0,0,40,20,0
69,52,government_local,some_college, divorced,0,3,0,0,0,38,20,0
70,25,non_government,bachelors_degree, married,3,3,1,0,0,50,20,0
71,46,non_government,associates_degree_vocational, divorced,3,3,0,0,0,40,20,0
72,19,non_government,some_college,never_married,3,3,0,0,0,25,20,0
73,33,self_employed_not_incorporated,some_college, married,3,3,1,0,4941,50,20,0
74,22,government_state,some_college,never_married,7,3,0,0,0,15,20,0
75,33,non_government,bachelors_degree,never_married,4,3,1,0,5904,40,20,0
76,46,government_local,associates_degree_academic, married,9,3,1,0,0,49,20,1
77,23,non_government,bachelors_degree,never_married,2,3,0,0,0,60,20,0
78,22,non_government,some_college,never_married,7,3,1,0,0,30,20,0
79,28,non_government,high_school, married,7,2,0,0,0,23,20,0
80,21,non_government,some_college,never_married,3,3,1,0,0,12,20,0
81,37,government_federal,some_college, married,1,3,1,0,0,40,20,1
82,34,non_government,some_college,never_married,3,3,1,0,0,35,20,0
83,24,non_government,bachelors_degree,never_married,0,3,1,0,0,40,20,0
84,18,non_government,high_school,never_married,1,3,1,0,0,30,20,0
85,25,non_government,bachelors_degree,never_married,0,2,1,0,0,50,20,0
86,18,non_government,high_school,never_married,3,3,1,0,0,20,20,0
87,41,non_government,associates_degree_academic, divorced,3,3,1,0,0,40,20,0
88,32,non_government,masters_degree, married,1,3,1,0,0,40,20,1
89,44,government_state,high_school, married,7,3,0,0,0,15,20,0
90,45,non_government,doctoral_degree, married,0,3,1,0,0,60,20,0
91,40,government_state,associates_degree_vocational, married,6,3,1,0,0,40,20,0
92,30,non_government,doctoral_degree,never_married,1,3,1,0,0,20,20,0
93,60,non_government,some_college, divorced,1,3,1,9988,0,42,20,0
94,59,non_government,high_school, widowed,2,3,0,0,0,60,20,0
95,54,non_government,masters_degree, married,3,3,1,0,0,40,20,0
96,44,government_local,masters_degree,never_married,1,3,0,0,0,40,20,0
97,63,self_employed_not_incorporated,some_college, divorced,0,3,1,0,0,50,20,0
98,21,non_government,some_college,never_married,0,3,0,0,0,40,20,0
99,27,non_government,high_school,never_married,3,3,0,0,0,40,20,0
100,22,non_government,some_college,never_married,7,3,0,0,0,11,20,0
101,46,self_employed_incorporated,bachelors_degree, divorced,0,3,0,0,0,50,20,0
102,55,non_government,bachelors_degree, married,0,3,1,43764,0,48,20,1
103,26,non_government,high_school,never_married,6,3,1,9871,0,40,20,0
104,31,non_government,high_school,never_married,10,3,1,0,0,40,20,0
105,43,self_employed_not_incorporated,high_school, married,0,3,0,0,0,40,20,0
106,28,non_government,some_college, married,7,3,1,0,0,35,20,1
107,40,non_government,bachelors_degree, divorced,3,3,1,0,4435,60,20,1
108,28,government_local,doctoral_degree, divorced,1,3,0,0,0,40,20,0
109,29,government_local,bachelors_degree, married,1,3,1,0,5800,60,7,1
110,41,self_employed_not_incorporated,high_school, married,11,3,0,0,0,40,20,0
111,36,non_government,bachelors_degree, married,1,3,1,24301,0,40,20,1
112,58,government_local,masters_degree, married,1,2,1,23340,0,30,20,1
113,25,non_government,some_college, married,3,3,1,0,0,43,20,0
114,19,non_government,some_college,never_married,7,3,0,0,0,20,20,0
115,38,non_government,high_school, married,6,3,1,0,0,40,20,0
116,41,government_state,masters_degree,never_married,1,3,1,0,0,40,20,0
